模组码值,极柱序号,检测结果,长度结果,焊缝长度,宽度结果,焊缝宽度,偏移结果,焊缝偏移,爆孔结果,焊缝爆孔,外径结果,焊缝外径,虚焊结果,焊缝虚焊
LocalTest,01,OK,OK,048.80,OK,003.65,OK,000.00,OK,000.00,OK,015.54,OK,000.01
LocalTest,02,OK,OK,047.15,OK,003.80,OK,000.67,OK,000.00,OK,015.02,OK,000.12
LocalTest,03,NG,OK,049.09,OK,004.21,OK,000.00,NG,007.40,OK,015.63,OK,000.07
LocalTest,04,OK,OK,048.76,OK,004.40,OK,000.00,OK,000.00,OK,015.53,OK,000.11
LocalTest,05,OK,OK,047.68,OK,003.94,OK,000.00,OK,000.00,OK,015.19,OK,000.03
LocalTest,06,OK,OK,048.06,OK,004.08,OK,000.73,OK,000.00,OK,015.31,OK,000.03
LocalTest,07,NG,OK,048.26,OK,004.11,OK,000.00,NG,005.78,OK,015.37,OK,000.07
LocalTest,08,OK,OK,047.27,OK,004.13,OK,000.00,OK,000.00,OK,015.05,OK,000.04
LocalTest,09,NG,OK,048.61,OK,004.20,OK,000.00,NG,009.72,OK,015.48,OK,000.04
LocalTest,10,OK,OK,048.28,OK,004.10,OK,000.00,OK,000.85,OK,015.38,OK,000.00
LocalTest,11,OK,OK,049.10,OK,004.39,OK,000.00,OK,000.96,OK,015.64,OK,000.12
LocalTest,12,OK,OK,047.80,OK,004.18,OK,000.00,OK,000.00,OK,015.22,OK,000.02
LocalTest,13,OK,OK,047.30,OK,004.04,OK,000.00,OK,000.00,OK,015.06,OK,000.03
LocalTest,26,NG,OK,049.05,OK,004.32,OK,000.00,NG,009.01,OK,015.62,OK,000.14
LocalTest,25,OK,OK,048.53,OK,003.92,OK,000.00,OK,000.00,OK,015.46,OK,000.05
LocalTest,24,OK,OK,047.51,OK,004.15,OK,000.00,OK,000.00,OK,015.13,OK,000.02
LocalTest,23,OK,OK,047.22,OK,004.04,OK,000.00,OK,002.65,OK,015.04,OK,000.00
LocalTest,22,OK,OK,045.83,OK,004.16,OK,000.00,OK,003.63,OK,014.59,OK,000.03
LocalTest,21,NG,OK,049.72,OK,004.47,OK,000.00,NG,006.37,OK,015.83,OK,000.02
LocalTest,20,OK,OK,048.42,OK,004.19,OK,000.00,OK,000.00,OK,015.42,OK,000.01
LocalTest,19,OK,OK,050.52,OK,004.49,OK,000.00,OK,004.00,OK,016.09,OK,000.04
LocalTest,18,OK,OK,048.13,OK,003.32,OK,000.00,OK,000.00,OK,015.33,OK,000.00
LocalTest,17,NG,OK,049.77,OK,004.39,OK,000.00,NG,005.50,OK,015.85,OK,000.19
LocalTest,16,OK,OK,048.01,OK,003.04,OK,000.00,OK,000.00,OK,015.29,OK,000.00
LocalTest,15,NG,OK,049.32,OK,004.26,OK,000.00,NG,005.83,OK,015.71,OK,000.03
LocalTest,14,OK,OK,046.69,OK,002.85,OK,000.00,OK,001.84,OK,014.87,OK,000.00
LocalTest,27,NG,OK,049.45,OK,004.18,OK,000.00,NG,006.18,OK,015.75,OK,000.05
LocalTest,28,OK,OK,049.13,OK,002.82,OK,000.00,OK,000.00,OK,015.65,OK,000.07
LocalTest,29,OK,OK,047.54,OK,002.93,OK,000.00,OK,000.74,OK,015.14,OK,000.01
LocalTest,30,OK,OK,050.98,OK,004.60,OK,000.00,OK,000.00,OK,016.24,OK,000.07
LocalTest,31,OK,OK,047.55,OK,002.94,OK,000.00,OK,000.00,OK,015.14,OK,000.02
LocalTest,32,OK,OK,049.62,OK,004.36,OK,000.00,OK,000.00,OK,015.80,OK,000.03
LocalTest,33,OK,OK,045.96,OK,002.89,OK,000.00,OK,002.91,OK,014.64,OK,000.01
LocalTest,34,OK,OK,050.56,OK,004.11,OK,000.00,OK,004.91,OK,016.10,OK,000.02
LocalTest,35,OK,OK,047.14,OK,002.95,OK,000.00,OK,000.00,OK,015.01,OK,000.02
LocalTest,36,OK,OK,049.59,OK,004.16,OK,000.00,OK,000.00,OK,015.79,OK,000.01
LocalTest,37,OK,OK,047.26,OK,002.85,OK,000.00,OK,000.00,OK,015.05,OK,000.11
LocalTest,38,OK,OK,050.35,OK,004.31,OK,000.00,OK,002.44,OK,016.04,OK,000.02
LocalTest,39,OK,OK,047.73,OK,004.24,OK,000.00,OK,000.00,OK,015.20,OK,000.01
LocalTest,52,OK,OK,049.24,OK,004.26,OK,000.00,OK,002.66,OK,015.68,OK,000.05
LocalTest,51,OK,OK,047.86,OK,004.35,OK,000.00,OK,000.47,OK,015.24,OK,000.11
LocalTest,50,OK,OK,048.36,OK,004.22,OK,000.00,OK,000.00,OK,015.40,OK,000.14
LocalTest,49,OK,OK,049.40,OK,004.50,OK,000.00,OK,000.00,OK,015.73,OK,000.03
LocalTest,48,NG,OK,047.19,OK,003.89,OK,000.00,NG,009.76,OK,015.03,OK,000.03
LocalTest,47,OK,OK,049.16,OK,004.34,OK,000.00,OK,003.16,OK,015.66,OK,000.02
LocalTest,46,OK,OK,048.04,OK,003.73,OK,000.00,OK,000.00,OK,015.30,OK,000.03
LocalTest,45,OK,OK,049.27,OK,004.27,OK,000.00,OK,004.46,OK,015.69,OK,000.01
LocalTest,44,OK,OK,047.26,OK,003.95,OK,000.00,OK,000.00,OK,015.05,OK,000.02
LocalTest,43,OK,OK,049.82,OK,004.32,OK,000.00,OK,000.00,OK,015.87,OK,000.07
LocalTest,42,OK,OK,047.13,OK,003.69,OK,000.00,OK,000.00,OK,015.01,OK,000.03
LocalTest,41,OK,OK,049.27,OK,004.19,OK,000.00,OK,000.00,OK,015.69,OK,000.07
LocalTest,40,OK,OK,047.19,OK,003.89,OK,000.00,OK,004.43,OK,015.03,OK,000.03
LocalTest,01,OK,OK,048.80,OK,003.65,OK,000.00,OK,000.00,OK,015.54,OK,000.01
LocalTest,02,OK,OK,047.15,OK,003.80,OK,000.67,OK,000.00,OK,015.02,OK,000.12
LocalTest,03,NG,OK,049.09,OK,004.21,OK,000.00,NG,007.40,OK,015.63,OK,000.07
LocalTest,04,OK,OK,048.76,OK,004.40,OK,000.00,OK,000.00,OK,015.53,OK,000.11
LocalTest,05,OK,OK,047.68,OK,003.94,OK,000.00,OK,000.00,OK,015.19,OK,000.03
LocalTest,06,OK,OK,048.06,OK,004.08,OK,000.73,OK,000.00,OK,015.31,OK,000.03
